num,kmh_mph,mph_kmh,kmh_kms,kmh_mh,kmh_ms,kmh_fph,kmh_fps,kmh_nmph,kmh_nmps,kmh_yph,kmh_yps,kmh_mach,kmh_knots,mph_mps,mph_mh,mph_ms,mph_fph,mph_fps,mph_nmph,mph_nmps,mph_yph,mph_yps,mph_mach,mph_knots,kmh_mph1,kmh_mph2,kmh_mph3,kmh_mph4,kmh_mph5,kmh_mph6,kmh_mph7,kmh_mph8,kmh_mph9,mph_kmh1,mph_kmh2,mph_kmh3,mph_kmh4,mph_kmh5,mph_kmh6,mph_kmh7,mph_kmh8,mph_kmh9
33,20.505243,53.108352,0.009166667,33000,9.166666667,108267.72,30.07436667,17.8185744,0.004949604,36089.23884,10.02478857,0.02766878,17.8185744,0.009166667,53108.352,14.75232,174240,48.4,28.676208,0.007965613,58080,16.13333333,0.042999,28.676208,20.5673801,20.6295172,20.6916543,20.7537914,20.8159285,20.8780656,20.9402027,21.0023398,21.0644769,53.2692864,53.4302208,53.5911552,53.7520896,53.913024,54.0739584,54.2348928,54.3958272,54.5567616
34,21.126614,54.717696,0.009444444,34000,9.444444444,111548.56,30.98571111,18.3585312,0.005099592,37182.85214,10.32857004,0.028507228,18.3585312,0.009444444,54717.696,15.19936,179520,49.86666667,29.545184,0.008206996,59840,16.62222222,0.044302,29.545184,21.1887511,21.2508882,21.3130253,21.3751624,21.4372995,21.4994366,21.5615737,21.6237108,21.6858479,54.8786304,55.0395648,55.2004992,55.3614336,55.522368,55.6833024,55.8442368,56.0051712,56.1661056
35,21.747985,56.32704,0.009722222,35000,9.722222222,114829.4,31.89705556,18.898488,0.00524958,38276.46544,10.63235151,0.029345675,18.898488,0.009722222,56327.04,15.6464,184800,51.33333333,30.41416,0.008448378,61600,17.11111111,0.045605,30.41416,21.8101221,21.8722592,21.9343963,21.9965334,22.0586705,22.1208076,22.1829447,22.2450818,22.3072189,56.4879744,56.6489088,56.8098432,56.9707776,57.131712,57.2926464,57.4535808,57.6145152,57.7754496
36,22.369356,57.936384,0.01,36000,10,118110.24,32.8084,19.4384448,0.005399568,39370.07874,10.93613298,0.030184123,19.4384448,0.01,57936.384,16.09344,190080,52.8,31.283136,0.00868976,63360,17.6,0.046908,31.283136,22.4314931,22.4936302,22.5557673,22.6179044,22.6800415,22.7421786,22.8043157,22.8664528,22.9285899,58.0973184,58.2582528,58.4191872,58.5801216,58.741056,58.9019904,59.0629248,59.2238592,59.3847936
37,22.990727,59.545728,0.010277778,37000,10.27777778,121391.08,33.71974444,19.9784016,0.005549556,40463.69204,11.23991445,0.031022571,19.9784016,0.010277778,59545.728,16.54048,195360,54.26666667,32.152112,0.008931142,65120,18.08888889,0.048211,32.152112,23.0528641,23.1150012,23.1771383,23.2392754,23.3014125,23.3635496,23.4256867,23.4878238,23.5499609,59.7066624,59.8675968,60.0285312,60.1894656,60.3504,60.5113344,60.6722688,60.8332032,60.9941376
38,23.612098,61.155072,0.010555556,38000,10.55555556,124671.92,34.63108889,20.5183584,0.005699544,41557.30534,11.54369593,0.031861019,20.5183584,0.010555556,61155.072,16.98752,200640,55.73333333,33.021088,0.009172524,66880,18.57777778,0.049514,33.021088,23.6742351,23.7363722,23.7985093,23.8606464,23.9227835,23.9849206,24.0470577,24.1091948,24.1713319,61.3160064,61.4769408,61.6378752,61.7988096,61.959744,62.1206784,62.2816128,62.4425472,62.6034816
39,24.233469,62.764416,0.010833333,39000,10.83333333,127952.76,35.54243333,21.0583152,0.005849532,42650.91863,11.8474774,0.032699467,21.0583152,0.010833333,62764.416,17.43456,205920,57.2,33.890064,0.009413907,68640,19.06666667,0.050817,33.890064,24.2956061,24.3577432,24.4198803,24.4820174,24.5441545,24.6062916,24.6684287,24.7305658,24.7927029,62.9253504,63.0862848,63.2472192,63.4081536,63.569088,63.7300224,63.8909568,64.0518912,64.2128256
40,24.85484,64.37376,0.011111111,40000,11.11111111,131233.6,36.45377778,21.598272,0.00599952,43744.53193,12.15125887,0.033537915,21.598272,0.011111111,64373.76,17.8816,211200,58.66666667,34.75904,0.009655289,70400,19.55555556,0.05212,34.75904,24.9169771,24.9791142,25.0412513,25.1033884,25.1655255,25.2276626,25.2897997,25.3519368,25.4140739,64.5346944,64.6956288,64.8565632,65.0174976,65.178432,65.3393664,65.5003008,65.6612352,65.8221696
41,25.476211,65.983104,0.011388889,41000,11.38888889,134514.44,37.36512222,22.1382288,0.006149508,44838.14523,12.45504034,0.034376363,22.1382288,0.011388889,65983.104,18.32864,216480,60.13333333,35.628016,0.009896671,72160,20.04444444,0.053423,35.628016,25.5383481,25.6004852,25.6626223,25.7247594,25.7868965,25.8490336,25.9111707,25.9733078,26.0354449,66.1440384,66.3049728,66.4659072,66.6268416,66.787776,66.9487104,67.1096448,67.2705792,67.4315136
42,26.097582,67.592448,0.011666667,42000,11.66666667,137795.28,38.27646667,22.6781856,0.006299496,45931.75853,12.75882181,0.035214811,22.6781856,0.011666667,67592.448,18.77568,221760,61.6,36.496992,0.010138053,73920,20.53333333,0.054726,36.496992,26.1597191,26.2218562,26.2839933,26.3461304,26.4082675,26.4704046,26.5325417,26.5946788,26.6568159,67.7533824,67.9143168,68.0752512,68.2361856,68.39712,68.5580544,68.7189888,68.8799232,69.0408576
